,Unnamed: 0.1,Unnamed: 0,oid,oy,ox,oGEOID,oMOVEMENT_ID,did,dy,dx,dGEOID,dMOVEMENT_ID,uber_OD,sourceid,dstid,hod,mean_travel_time,standard_deviation_travel_time,geometric_mean_travel_time,geometric_standard_deviation_travel_time
194722,194722,1351889,122723846,34.1178858,-117.8981165,6037404100.0,2188.0,3933785715,33.9232186,-118.1014802,6037550301.0,1776.0,"(2188.0, 1776.0)",2188.0,1776.0,3,1409.78,201.22,1395.74,1.15
437781,437781,3753431,123018789,34.2169794,-118.6245596,6037134302.0,968.0,8266176308,34.2925597,-118.5729388,6037108202.0,762.0,"(968.0, 762.0)",968.0,762.0,3,729.38,121.65,718.64,1.19
762492,762492,4751710,123752804,34.0188992,-118.0661054,6037500403.0,1851.0,122900897,34.0437116,-118.0496715,6037434100.0,1984.0,"(1851.0, 1984.0)",1851.0,1984.0,3,581.67,214.28,542.09,1.46
635223,635223,4439895,123341499,33.8550973,-118.2573676,6037543322.0,157.0,122934515,33.8242218,-118.2654993,6037543803.0,166.0,"(157.0, 166.0)",157.0,166.0,3,355.05,142.08,327.46,1.5
420669,420669,735726,122998706,34.0527481,-117.9032332,6037408005.0,2098.0,417984428,34.0723846,-117.921664,6037405600.0,2079.0,"(2098.0, 2079.0)",2098.0,2079.0,3,255.4,125.86,224.25,1.87
640181,640181,4751617,123354840,34.2442611,-118.4879435,6037117301.0,809.0,122853259,34.0373416,-118.4461915,6037267700.0,1555.0,"(809.0, 1555.0)",809.0,1555.0,3,1123.3,542.79,1046.25,1.4
499266,499266,4044527,123106523,33.8800176,-118.0958746,6037554521.0,183.0,1530583718,33.8995247,-118.0575447,6037980034.0,1948.0,"(183.0, 1948.0)",183.0,1948.0,3,534.06,253.56,477.04,1.68
786078,786078,4343093,268681345,34.0862112,-118.0932563,6037481404.0,1934.0,268378241,34.0970489,-118.1135555,6037481002.0,14.0,"(1934.0, 14.0)",1934.0,14.0,3,392.56,131.25,374.49,1.35
641640,641640,1627278,123358767,33.9533515,-118.247478,6037242300.0,1507.0,122630160,33.9262532,-118.3244946,6037602700.0,424.0,"(1507.0, 424.0)",1507.0,424.0,3,660.13,290.79,608.61,1.47
167498,167498,2721391,122689587,34.2490792,-118.4291329,6037119003.0,820.0,123541344,34.2572632,-118.5536176,6037111204.0,776.0,"(820.0, 776.0)",820.0,776.0,3,708.31,213.12,680.9,1.31
393623,393623,3876073,122964968,34.1821438,-118.4399943,6037128210.0,928.0,1613525409,34.0708569,-118.264081,6037195720.0,1158.0,"(928.0, 1158.0)",928.0,1158.0,3,1147.67,224.81,1125.84,1.22
793144,793144,4776749,271054141,34.0292204,-118.2210595,6037206050.0,1222.0,123044420,34.1140699,-118.163574,6037480703.0,2014.0,"(1222.0, 2014.0)",1222.0,2014.0,3,876.29,194.35,850.93,1.29
47485,47485,2220599,122481348,34.0458726,-118.2710458,6037210010.0,1263.0,4011360150,33.7714068,-118.2787548,6037294900.0,1654.0,"(1263.0, 1654.0)",1263.0,1654.0,3,1017.73,156.59,1008.59,1.13
333023,333023,538537,122887512,34.1512258,-118.3401065,6037311602.0,141.0,122725465,34.0438775,-118.139065,6037482701.0,1767.0,"(141.0, 1767.0)",141.0,1767.0,3,997.89,124.13,990.99,1.12
719673,719673,4091934,123586572,34.164884,-118.3953938,6037125101.0,897.0,123631341,34.1821766,-118.5254344,6037132900.0,959.0,"(897.0, 959.0)",897.0,959.0,3,908.25,508.64,812.13,1.54
448704,448704,418968,123035748,33.9852443,-118.3961797,6037275603.0,1611.0,123493048,34.252954,-118.4860101,6037109800.0,772.0,"(1611.0, 772.0)",1611.0,772.0,3,1050.03,76.64,1047.2,1.08
744772,744772,1490788,123672798,33.9659662,-118.2782558,6037239701.0,1481.0,20842296,34.1041132,-118.3383796,6037190202.0,1103.0,"(1481.0, 1103.0)",1481.0,1103.0,3,1209.3,852.72,1051.98,1.57
1039887,1039887,58351,2365234628,33.989214,-118.2302986,6037980016.0,2062.0,123155482,34.0835704,-118.0407394,6037432300.0,294.0,"(2062.0, 294.0)",2062.0,294.0,3,1008.5,328.46,961.81,1.35
117736,117736,1655470,122637375,34.2565998,-118.54568,6037111204.0,776.0,123610538,34.3133524,-118.5021149,6037106603.0,746.0,"(776.0, 746.0)",776.0,746.0,3,696.6,141.54,683.75,1.21
292959,292959,870285,122834011,34.0688798,-118.2531721,6037197600.0,1170.0,27463890,34.0719843,-118.0422103,6037432700.0,300.0,"(1170.0, 300.0)",1170.0,300.0,3,777.94,246.52,752.31,1.27
944742,944742,4103332,1717922397,34.0374488,-118.2882388,6037221602.0,1368.0,29414856,33.9037393,-118.1852052,6037553701.0,1804.0,"(1368.0, 1804.0)",1368.0,1804.0,3,1040.28,300.54,1003.35,1.3
805360,805360,3290636,295527603,33.8266402,-118.2142672,6037544002.0,584.0,123202026,33.7414725,-118.2857051,6037296220.0,1657.0,"(584.0, 1657.0)",584.0,1657.0,3,1133.05,420.89,1075.81,1.35
137182,137182,793984,122658260,34.2884692,-118.4157077,6037104201.0,716.0,122681479,34.2291086,-118.5721817,6037113426.0,793.0,"(716.0, 793.0)",716.0,793.0,3,1016.27,224.57,992.93,1.24
569173,569173,4213441,123217594,34.082741,-118.4431704,6037262100.0,1515.0,624611225,33.8395437,-118.2637362,6037543801.0,165.0,"(1515.0, 165.0)",1515.0,165.0,3,1565.17,239.09,1548.02,1.16
213307,213307,685381,122741712,33.8716311,-118.4013732,6037621005.0,431.0,122851347,33.8113288,-118.389472,6037651304.0,2056.0,"(431.0, 2056.0)",431.0,2056.0,3,666.37,167.56,646.78,1.27
457706,457706,4987978,123048478,33.8584794,-118.1734836,6037570602.0,599.0,122965872,33.8910073,-118.0669497,6037552602.0,1786.0,"(599.0, 1786.0)",599.0,1786.0,3,685.83,64.53,683.02,1.09
373243,373243,675138,122937091,34.1545879,-118.4649013,6037141305.0,1022.0,122561241,33.9911133,-118.2302912,6037980016.0,2062.0,"(1022.0, 2062.0)",1022.0,2062.0,3,1324.67,159.05,1315.84,1.12
335234,335234,4732769,122889848,34.1598919,-118.4389718,6037128704.0,936.0,123058468,34.0917663,-118.3674214,6037700200.0,2108.0,"(936.0, 2108.0)",936.0,2108.0,3,899.42,199.34,880.79,1.22
1020747,1020747,3290149,1917021067,33.9172896,-118.1079711,6037550301.0,1776.0,123416252,33.9156252,-117.9788618,6037503705.0,550.0,"(1776.0, 550.0)",1776.0,550.0,3,764.23,145.41,751.88,1.19
715222,715222,1602555,123569888,33.8689059,-118.2567402,6037543321.0,156.0,122953928,34.0749557,-118.2686518,6037195710.0,1157.0,"(156.0, 1157.0)",156.0,1157.0,3,1277.56,284.12,1249.27,1.23
352708,352708,4255068,122910672,34.1630483,-118.422536,6037124600.0,893.0,122852620,34.1614998,-118.5141984,6037139600.0,1012.0,"(893.0, 1012.0)",893.0,1012.0,3,487.96,265.26,442.59,1.55
886580,886580,4959970,806547123,34.0650848,-118.2513412,6037197600.0,1170.0,122813232,34.2465695,-118.4162944,6037104821.0,731.0,"(1170.0, 731.0)",1170.0,731.0,3,1090.09,215.31,1071.63,1.2
521413,521413,1635704,123141906,33.7797059,-118.3448481,6037670201.0,1892.0,123106382,33.8136161,-118.2891204,6037543605.0,2398.0,"(1892.0, 2398.0)",1892.0,2398.0,3,743.4,282.39,709.66,1.32
999524,999524,1382121,1840689610,34.0744908,-118.2941919,6037211202.0,1269.0,76667188,34.0741066,-118.1196923,6037481605.0,18.0,"(1269.0, 18.0)",1269.0,18.0,3,736.19,201.68,714.59,1.26
670028,670028,4012623,123430505,34.1703278,-118.4356243,6037128602.0,935.0,26263701,34.1435518,-118.2209157,6037181000.0,1041.0,"(935.0, 1041.0)",935.0,1041.0,3,1143.33,318.8,1102.8,1.3
